[key]; [value]
Version; 0x03050000
Name; Application.Sine_Trace
ApplicationName; Application
ApplicationDataGuid; 00000000-0000-0000-0000-000000000000
IecTaskName; MainTask
Comment; 
Trigger.Flags; 0
Condition.Name; 
Condition.AddrFlags; 0x00000000
Condition.Class; 0
Condition.Size; 0
EveryNCycles; 1
BufferEntries; 201
Flags; 16
0.Variable; PLC_PRG.Sine_FilterInput
0.Address.AddrFlags; 0x00000000
0.Class; 14
0.Size; 4
0.GraphColor; 4285563024
0.GraphType; 4
0.MinWarningColor; 4278190080
0.MaxWarningColor; 4294901760
0.CriticalLowerLimit; 0
0.CriticalUpperLimit; 0
0.ActivateMinWarning; 0
0.ActivateMaxWarning; 0
0.YAxis; 0
0.Data; 
; 2597; 0.94555598497390747
; 2607; 0.97152698040008545
; 2617; 0.87867701053619385
; 2627; 0.86632698774337769
; 2637; 1.0857349634170532
; 2647; 0.98416799306869507
; 2657; 0.90508198738098145
; 2667; 1.0329010486602783
; 2677; 0.95446699857711792
; 2687; 0.80763298273086548
; 2697; 1.0122979879379272
; 2707; 0.87555801868438721
; 2717; 0.95942902565002441
; 2727; 0.88707000017166138
; 2737; 0.66353499889373779
; 2747; 0.558551013469696
; 2757; 0.63353699445724487
; 2767; 0.55832701921463013
; 2777; 0.455251008272171
; 2787; 0.535489022731781
; 2797; 0.57874500751495361
; 2807; 0.31773799657821655
; 2817; 0.22873100638389587
; 2827; 0.2285580039024353
; 2837; 0.25828099250793457
; 2847; 0.044589001685380936
; 2857; -0.052604999393224716
; 2867; -0.0072090001776814461
; 2877; -0.064519003033638
; 2887; -0.071998998522758484
; 2897; -0.242140993475914
; 2907; -0.25890201330184937
; 2917; -0.34779301285743713
; 2927; -0.37143298983573914
; 2937; -0.26773399114608765
; 2947; -0.53798598051071167
; 2957; -0.66627997159957886
; 2967; -0.53671598434448242
; 2977; -0.72382098436355591
; 2987; -0.677187979221344
; 2997; -0.78815799951553345
; 3007; -0.71363300085067749
; 3017; -0.75062799453735352
; 3027; -0.86185199022293091
; 3037; -1.0791640281677246
; 3047; -0.88928002119064331
; 3057; -0.76848697662353516
; 3067; -0.84752798080444336
; 3077; -1.1252540349960327
; 3087; -0.98911201953887939
; 3097; -1.0595749616622925
; 3107; -1.1001189947128296
; 3117; -1.1234200000762939
; 3127; -0.96948200464248657
; 3137; -1.0357359647750854
; 3147; -0.97775399684906006
; 3157; -1.0067729949951172
; 3167; -0.99931001663208008
; 3177; -0.8947870135307312
; 3187; -0.83445197343826294
; 3197; -0.66788399219512939
; 3207; -0.98318397998809814
; 3217; -0.91472798585891724
; 3227; -0.67049300670623779
; 3237; -0.77201300859451294
; 3247; -0.82702702283859253
; 3257; -0.610496997833252
; 3267; -0.43734601140022278
; 3277; -0.47016400098800659
; 3287; -0.29136499762535095
; 3298; -0.38087999820709229
; 3308; -0.18740999698638916
; 3318; -0.34889999032020569
; 3328; -0.36871001124382019
; 3338; -0.21465399861335754
; 3348; -0.012563000433146954
; 3358; -0.1807360053062439
; 3368; 0.0571569986641407
; 3378; -0.003742000088095665
; 3388; 0.17406600713729858
; 3398; 0.071042001247406
; 3408; 0.25099000334739685
; 3418; 0.10234399884939194
; 3428; 0.31270700693130493
; 3438; 0.4660089910030365
; 3448; 0.44383698701858521
; 3458; 0.6538500189781189
; 3468; 0.519232988357544
; 3478; 0.39970999956130981
; 3488; 0.55644500255584717
; 3498; 0.8298720121383667
; 3508; 0.75482797622680664
; 3518; 0.842894971370697
; 3528; 0.93504101037979126
; 3538; 0.66091299057006836
; 3548; 0.83738100528717041
; 3558; 0.85675597190856934
; 3568; 0.84705400466918945
; 3578; 0.94859999418258667
; 3588; 1.1330389976501465
; 3598; 0.98735600709915161
; 3608; 1.1202980279922485
; 3618; 0.93035399913787842
; 3628; 0.99920499324798584
; 3638; 0.91470599174499512
; 3648; 1.04231595993042
; 3658; 0.9452509880065918
; 3668; 1.0013079643249512
; 3678; 0.99927502870559692
; 3688; 0.90011698007583618
; 3698; 0.96877497434616089
; 3708; 1.0792269706726074
; 3718; 0.86585801839828491
; 3728; 0.77410399913787842
; 3738; 0.82542997598648071
; 3748; 0.69564801454544067
; 3758; 0.53256398439407349
; 3768; 0.642503023147583
; 3778; 0.54179197549819946
; 3788; 0.46087199449539185
; 3798; 0.56041502952575684
; 3808; 0.561680018901825
; 3818; 0.26417401432991028
; 3828; 0.26661399006843567
; 3838; 0.11433900147676468
; 3848; 0.20121000707149506
; 3858; -0.1657550036907196
; 3868; 0.10697499662637711
; 3878; -0.032919000834226608
; 3889; -0.091199003159999847
; 3899; -0.058115001767873764
; 3909; -0.268312007188797
; 3919; -0.31459501385688782
; 3929; -0.48758101463317871
; 3939; -0.58471900224685669
; 3949; -0.54489099979400635
; 3959; -0.50075501203536987
; 3969; -0.63518601655960083
; 3979; -0.76434898376464844
; 3989; -0.5711709856987
; 3999; -0.79441702365875244
; 4009; -0.7662540078163147
; 4019; -0.80410802364349365
; 4029; -0.864700973033905
; 4039; -0.8325200080871582
; 4049; -0.92756098508834839
; 4059; -1.0929889678955078
; 4069; -1.0512609481811523
; 4079; -0.94209098815917969
; 4090; -1.1062860488891602
; 4100; -1.0257060527801514
; 4110; -1.0915780067443848
; 4120; -1.1174180507659912
; 4130; -1.1006540060043335
; 4140; -1.0333490371704102
; 4150; -0.96654099225997925
; 4160; -0.98236697912216187
; 4170; -0.84736299514770508
; 4180; -0.95757299661636353
; 4190; -1.0603690147399902
; 4200; -0.87963998317718506
; 4210; -0.8420029878616333
; 4220; -0.782666027545929
; 4231; -0.72630602121353149
; 4241; -0.60738801956176758
; 4251; -0.74598699808120728
; 4261; -0.61840897798538208
; 4271; -0.59655100107192993
; 4281; -0.60165601968765259
; 4291; -0.27625200152397156
; 4301; -0.4599669873714447
; 4311; -0.51776802539825439
; 4321; -0.14092999696731567
; 4331; -0.22525599598884583
; 4341; -0.308569997549057
; 4351; -0.072709999978542328
; 4361; 0.054685000330209732
; 4371; -0.099160000681877136
; 4381; 0.066735997796058655
; 4391; 0.10187999904155731
; 4401; 0.061553001403808594
; 4411; 0.35767099261283875
; 4421; 0.29822000861167908
; 4431; 0.41266700625419617
; 4441; 0.34526801109313965
; 4451; 0.40757700800895691
; 4461; 0.55892699956893921
; 4471; 0.5904499888420105
; 4481; 0.81458199024200439
; 4491; 0.649757981300354
; 4501; 0.9433630108833313
; 4511; 0.91495198011398315
; 4521; 0.60857099294662476
; 4531; 0.67083799839019775
; 4541; 0.81404399871826172
; 4552; 0.88188600540161133
; 4562; 0.92688101530075073
; 4572; 1.0315519571304321
; 4582; 0.89376300573349
; 4592; 0.90816497802734375
; 4602; 0.97065502405166626
; 4612; 0.99527901411056519
; 4622; 1.0278350114822388
; 4632; 1.1044540405273438
; 4642; 1.0555340051651
; 4652; 0.80913001298904419
; 4662; 1.0408710241317749
; 4672; 1.0354009866714478
; 4682; 0.99724102020263672
; 4692; 1.0402870178222656
; 4702; 0.91407698392868042
; 4712; 0.78268098831176758
; 4722; 0.80031001567840576
; 4732; 0.53238898515701294
; 4742; 0.7836030125617981
; 4752; 0.70405000448226929
; 4762; 0.58659601211547852
; 4772; 0.53104197978973389
; 4782; 0.43689998984336853
; 4792; 0.48649799823760986
; 4802; 0.47357401251792908
; 4812; 0.34525400400161743
; 4822; 0.269459992647171
; 4833; 0.25575199723243713
; 4843; 0.18075099587440491
; 4853; 0.040596000850200653
; 4863; 0.20313599705696106
; 4873; 0.0552389994263649
; 4883; 0.076466001570224762
; 4893; -0.16397500038146973
; 4903; -0.28819599747657776
; 4913; -0.1569879949092865
; 4923; -0.29412299394607544
; 4933; -0.43317899107933044
; 4943; -0.42437601089477539
; 4953; -0.67261499166488647
; 4963; -0.41774499416351318
; 4973; -0.67658901214599609
; 4983; -0.69737100601196289
; 4993; -0.54214799404144287
; 5003; -0.81192898750305176
; 5013; -0.80435699224472046
; 5023; -0.852744996547699
; 5033; -0.676048994064331
; 5044; -0.86252498626708984
; 5054; -1.0078799724578857
; 5064; -1.037837028503418
; 5074; -0.77378100156784058
; 5084; -0.7718309760093689
; 5094; -0.81649100780487061
; 5104; -1.1161500215530396
; 5114; -1.0185619592666626
; 5124; -1.0198220014572144
; 5134; -0.9679570198059082
; 5144; -1.0507810115814209
; 5155; -1.0822370052337646
; 5165; -1.0161960124969482
; 5175; -0.84651798009872437
; 5185; -0.69691097736358643
; 5195; -0.88701200485229492
; 5205; -0.90878099203109741
; 5215; -0.78065097332000732
; 5225; -0.86492300033569336
; 5235; -0.59204399585723877
; 5245; -0.62666600942611694
; 5255; -0.81625998020172119
; 5265; -0.71391099691390991
; 5275; -0.46369698643684387
; 5285; -0.50749200582504272
; 5295; -0.45335200428962708
; 5307; -0.60780602693557739
; 5317; -0.35697799921035767
; 5327; -0.25239500403404236
; 5337; -0.32456600666046143
; 5347; -0.30004799365997314
; 5357; -0.15646199882030487
; 5367; -0.18087300658226013
; 5377; -0.019895000383257866
; 5387; 0.077958002686500549
; 5397; 0.24994699656963348
; 5407; 0.19274100661277771
; 5417; 0.18200400471687317
; 5427; 0.46014198660850525
; 5437; 0.43859100341796875
; 5447; 0.43709000945091248
; 5457; 0.53748798370361328
; 5467; 0.47397398948669434
; 5477; 0.66280502080917358
; 5487; 0.65413302183151245
; 5497; 0.7374190092086792
; 5507; 0.61516702175140381
; 5517; 0.9156079888343811
; 5527; 0.84461897611618042
; 5537; 0.64543998241424561
; 5547; 0.916824996471405
; 5558; 1.0265129804611206
; 5568; 0.98863500356674194
; 5578; 1.0849159955978394
; 5588; 1.0971449613571167
; 5598; 0.8887370228767395
; 5608; 0.75977498292922974
; 5618; 1.1759610176086426
; 5628; 1.0389879941940308
; 5638; 1.0008189678192139
; 5648; 0.95313000679016113
; 5658; 0.83126097917556763
; 5668; 0.99402797222137451
; 5678; 0.81775200366973877
; 5688; 0.85081398487091064
; 5698; 0.889735996723175
; 5708; 0.95845901966094971
; 5718; 0.88922798633575439
; 5728; 0.68254202604293823
; 5738; 0.92747902870178223
; 5748; 0.74169999361038208
; 5758; 0.88169598579406738
; 5768; 0.52723699808120728
; 5778; 0.52080297470092773
; 5788; 0.47090399265289307
; 5798; 0.48332300782203674
; 5808; 0.3407990038394928
; 5818; 0.2848379909992218
; 5828; 0.084549002349376678
; 5838; 0.17860600352287292
; 5848; 0.2270829975605011
; 5858; 0.1210940033197403
; 5868; 0.060295999050140381
; 5878; 0.0026350000407546759
; 5888; -0.031598001718521118
; 5899; -0.16115699708461761
; 5909; -0.24369600415229797
; 5919; -0.18384100496768951
; 5929; -0.33729299902915955
; 5939; -0.33166798949241638
; 5949; -0.50851297378540039
; 5959; -0.48352301120758057
; 5969; -0.44897198677062988
; 5979; -0.66491800546646118
; 5989; -0.61213499307632446
; 5999; -0.69735997915267944
; 6009; -0.72633999586105347
; 6019; -0.79686599969863892
; 6029; -1.0079859495162964
; 6039; -0.85063600540161133
; 6049; -0.72970998287200928
; 6059; -0.83319902420043945
; 6070; -0.961887001991272
; 6080; -1.0124679803848267
; 6090; -0.93984699249267578
; 6100; -1.0177110433578491
; 6110; -1.0429619550704956
; 6120; -0.99142599105834961
; 6130; -0.87450897693634033
; 6140; -1.2508640289306641
; 6150; -0.93541902303695679
; 6160; -1.085832953453064
; 6170; -0.87783598899841309
; 6180; -1.1980659961700439
; 6190; -0.95769000053405762
; 6200; -0.90544998645782471
; 6210; -0.92607599496841431
; 6220; -0.87278002500534058
; 6230; -0.96930801868438721
; 6240; -0.89292299747467041
; 6250; -0.82099997997283936
; 6260; -0.65913397073745728
; 6270; -0.70795798301696777
; 6280; -0.44659900665283203
; 6290; -0.53495901823043823
; 6300; -0.68170398473739624
; 6310; -0.48535498976707458
; 6320; -0.44791600108146667
; 6330; -0.3136419951915741
; 6340; -0.28602400422096252
; 6350; -0.23081199824810028
; 6360; -0.21442100405693054
; 6370; -0.085098996758461
; 6380; -0.16032600402832031
; 6390; 0.10808999836444855
; 6400; -0.02289699949324131
; 6410; 0.10546199977397919
; 6420; 0.21849699318408966
; 6430; 0.31848800182342529
; 6440; 0.3454279899597168
; 6450; 0.58492898941040039
; 6460; 0.629709005355835
; 6470; 0.58471101522445679
; 6480; 0.58374702930450439
; 6490; 0.54403799772262573
; 6500; 0.62643402814865112
; 6510; 0.57708901166915894
; 6520; 0.72252100706100464
; 6530; 0.752174973487854
; 6540; 1.0105370283126831
; 6550; 0.943576991558075
; 6560; 0.90417802333831787
; 6570; 0.89428800344467163
; 6580; 0.95408999919891357
; 6590; 1.0409419536590576
; 6600; 1.2027209997177124
; 6611; 1.0225780010223389
; 6621; 1.0831700563430786
; 6631; 1.0677989721298218
; 6641; 1.0544140338897705
; 6651; 1.0942419767379761
; 6661; 1.1112359762191772
; 6671; 0.9770510196685791
; 6681; 0.92472398281097412
; 6691; 0.95854002237319946
; 6701; 1.0115809440612793
; 6711; 1.0059499740600586
; 6721; 0.7990490198135376
; 6731; 0.91013902425765991
; 6741; 0.76406902074813843
; 6751; 0.706974983215332
; 6761; 0.7510870099067688
; 6771; 0.74376899003982544
; 6781; 0.544588029384613
